Journal,ISSN
Journal of Management Research,1941-899X
Accounting and Finance Research,1927-5986
Journal of International Education in Business,2046-469X
Technology Analysis & Strategic Management,1465-3990
Journal of Business Cases and Applications,2156-9673
Journal of International Education,2046-469X
Journal of Business Diversity,2158-3889
"Journal of leadership, accountability and ethics",1913-8059
Journal of Higher Education Theory and Practice,2158-3595
American Journal of Management,2997-9366
Journal of Applied Business and Economics,1499-691X
Business Education Innovation Journal ,1945-0915
Bulletin of Applied Economics,2056-3736
Journal of Management,1305-1337
Journal of Strategy and Management,1755-425X
e-Journal of Business Education & Scholarship of Teaching,1835-9132
Journal of Management and Marketing Research,2157-0205
Global Business and Economics Review,1097-4954
Global Business and Economics Review,1097-4955
JOURNAL OF MANAGERIAL ISSUES,2328-7470
International Journal of Education Humanities and Social Science,2582-0745
Applied Economics,2371-4794
Journal of Applied Research in Higher Education,2050-7003
International Journal of Smart Education and Urban Society,2574-8254
"International Trade, Economic Crisis and the Sustainable Development Goals",978-1-83753-586-6
Economics Bulletin,1545-2921
The Quarterly Review of Economics and Finance,1062-9769
The American Economist,1081-7328
Economic Analysis and Policy,2204-2296
International Journal of Economics and Finance,1916-971X
Journal of Evolutionary Economics,0936-9937
Small Business Economics ,1573-0913
Journal of Ethical and Legal Issues,2573-2404
Applied Economics,1466-4283
International Journal of Management and Sustainability,2306-0662
International Journal of Business & Management Studies,2694-1449
IEEE Acess,2169-3536
Journal of Economic Literature,2328-8175
Marketing Education Review,2153-9987
Entrepreneurship Research Journal,2157-5665
Accounting and Finance Research,1927-5994
International Journal of Electronic Finance,1746-0077
Finance research letters.,1544-6123
International Journal of Accounting & Finance Review,2576-1285
Journal of risk and financial management,1911-8074
International Journal of Business and Economics,2545-4137
Accounting and Finance Research,1937-125X
Journal of Management Policies and Practices,2333-6048
Journal of behavioral and applied management,1930-0158
Journal of Marketing Development and Competitiveness,2155-2843
Journal of strategic innovation and sustainability.,1718-2077
Global Business and Economics Review,1745-1329
Global Business and Economics Review,1745-1330
Journal of Business Education & Scholarship of Teaching,1835-9132
California Management Review,2162-8564
California Management Review,2162-8565
Journal of the Academy of Marketing Science,1552-7824
INFORMATION SYSTEMS RESEARCH,1526-5536
IEEE access,2169-3536
International Journal of Business and Applied Social Science,2469-6501
Journal of Management,1557-1211
Applied Economics,0003-6846
The Quarterly Review of Economics and Finance,1878-4259
The Journal of Economic Education,2152-4068
International Journal of Hyperconnectivity and the Internet of Things,2473-4373
"International Journal of Public and Private Perspectives on Healthcare, Culture, and the Environment",2471-1055
